template_id,evaluation_criteria_id,type,text,sample_answer
1010a32c-24ac-4f17-b682-8c1f63e91ada,13724a22-30f8-474b-a659-5b34112bbc4f,Role-Specific,"How do you stay informed about current legislation, policies, and best practices in child protection and welfare?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,efb47d36-b92c-4d4e-b28e-e24f6de7adff,Behavioral,"Describe a time when you had to make a difficult decision under pressure in a safeguarding context. What was your thought process?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,efb47d36-b92c-4d4e-b28e-e24f6de7adff,Behavioral,"Tell me about a situation where you made a mistake. How did you take accountability and what did you learn from it?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,efb47d36-b92c-4d4e-b28e-e24f6de7adff,Role-Specific,"How do you maintain your resilience and wellbeing when dealing with emotionally challenging cases?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,c867d00c-fa51-4ba9-b2e1-0e61b0c20e81,Behavioral,"Give an example of when you successfully built a trusting relationship with a child or family in a challenging situation.",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,c867d00c-fa51-4ba9-b2e1-0e61b0c20e81,Behavioral,"Describe a time when you worked as part of a multi-disciplinary team to support a child or family. What was your contribution?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,c867d00c-fa51-4ba9-b2e1-0e61b0c20e81,Role-Specific,"How would you approach engaging with a family who is resistant to social work involvement?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,2efbde97-52af-4b1e-87ca-ff56909e0c70,Behavioral,"Describe a situation where you ensured the voice of the child was central to your assessment or intervention.",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,2efbde97-52af-4b1e-87ca-ff56909e0c70,Behavioral,"Tell me about a time when you identified a quality improvement opportunity in your service and acted on it.",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,2efbde97-52af-4b1e-87ca-ff56909e0c70,Role-Specific,"How do you ensure that your practice is child-centred and focused on achieving positive outcomes?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,f18f2191-aaf6-4f8a-b9de-5c34e8fffad8,Behavioral,"Tell me about a project where you had to track progress against targets. How did you monitor and report on outcomes?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,f18f2191-aaf6-4f8a-b9de-5c34e8fffad8,Situational,"If you were assigned a caseload of 50 tenants with varying needs, how would you prioritise your work to ensure fair service delivery?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c88b0d04-fa60-4cf5-ad4a-02f3dfca9da5,Behavioral,"Describe a time when you had to mediate between conflicting parties. What was your approach and the outcome?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c88b0d04-fa60-4cf5-ad4a-02f3dfca9da5,Situational,"How would you handle a situation where a colleague disagreed with your approach to supporting a vulnerable tenant?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,e1acc6bd-4ce0-490b-9281-c8fa9860eeab,Behavioral,"Give an example of when you had to explain a complex policy or procedure to someone with limited understanding. How did you ensure they understood?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,e1acc6bd-4ce0-490b-9281-c8fa9860eeab,Situational,"A tenant is struggling with literacy and needs to understand their tenancy agreement. How would you communicate the key points effectively?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,14726c2b-208d-4b82-8311-b9d843f2c6c7,Behavioral,"Tell me about a time when you received critical feedback. How did you respond and what changes did you make?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,14726c2b-208d-4b82-8311-b9d843f2c6c7,Situational,"Your organisation introduces a new digital system for managing tenant records. How would you approach learning and adapting to this change?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c17e6cbb-33c6-4d19-bc57-6d6deca0147c,Behavioral,"Describe a situation where you identified an emerging issue before it became a major problem. What action did you take?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c17e6cbb-33c6-4d19-bc57-6d6deca0147c,General,"How do you see the Housing Support Officer role contributing to Dublin City Council's broader objectives around social housing and community development?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,13724a22-30f8-474b-a659-5b34112bbc4f,Behavioral,"Give an example of how you have used supervision or peer support to enhance your professional practice.",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,13724a22-30f8-474b-a659-5b34112bbc4f,Situational,"You encounter a case involving cultural practices you are unfamiliar with. How would you ensure your practice is culturally competent?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,efb47d36-b92c-4d4e-b28e-e24f6de7adff,Behavioral,"Describe a time when you had to balance competing priorities in a high-risk case. How did you manage the demands?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,efb47d36-b92c-4d4e-b28e-e24f6de7adff,Situational,"A family you are working with makes a complaint about your practice. How would you respond while maintaining professionalism?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,c867d00c-fa51-4ba9-b2e1-0e61b0c20e81,Behavioral,"Tell me about a time when you had to advocate for a child's needs within a multi-agency meeting. What was the outcome?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,c867d00c-fa51-4ba9-b2e1-0e61b0c20e81,Situational,"You disagree with a decision made by another professional in a child protection case. How would you handle this?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,2efbde97-52af-4b1e-87ca-ff56909e0c70,Behavioral,"Describe how you have contributed to meeting national standards or HIQA requirements in your previous work.",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,2efbde97-52af-4b1e-87ca-ff56909e0c70,Situational,"How would you approach developing a safety plan with a family where there are ongoing concerns but the threshold for care proceedings has not been met?",No sample answer provided
